date,Days Type,Daily,Weekly,Monthly,FIrstDayofmonth,LastDayoftheMonth,WeekNum,WeekName
7/5/2018,Calendar days,1,4,5,7/1/2018,6/30/2018,27,Thursday
7/6/2018,Calendar days,1,5,6,7/1/2018,6/30/2018,27,Friday
7/7/2018,Calendar days,1,6,7,7/1/2018,6/30/2018,27,Saturday
7/8/2018,Calendar days,1,7,8,7/1/2018,6/30/2018,28,Sunday
7/9/2018,Calendar days,1,1,9,7/1/2018,6/30/2018,28,Monday
7/10/2018,Calendar days,1,2,10,7/1/2018,6/30/2018,28,Tuesday
7/11/2018,Calendar days,1,3,11,7/1/2018,6/30/2018,28,Wednesday
7/12/2018,Calendar days,1,4,12,7/1/2018,6/30/2018,28,Thursday
7/13/2018,Calendar days,1,5,13,7/1/2018,6/30/2018,28,Friday
7/14/2018,Calendar days,1,6,14,7/1/2018,6/30/2018,28,Saturday
7/15/2018,Calendar days,1,7,15,7/1/2018,6/30/2018,29,Sunday
7/16/2018,Calendar days,1,1,16,7/1/2018,6/30/2018,29,Monday
7/17/2018,Calendar days,1,2,17,7/1/2018,6/30/2018,29,Tuesday
7/18/2018,Calendar days,1,3,18,7/1/2018,6/30/2018,29,Wednesday
7/19/2018,Calendar days,1,4,19,7/1/2018,6/30/2018,29,Thursday
7/20/2018,Calendar days,1,5,20,7/1/2018,6/30/2018,29,Friday
7/21/2018,Calendar days,1,6,21,7/1/2018,6/30/2018,29,Saturday
7/22/2018,Calendar days,1,7,22,7/1/2018,6/30/2018,30,Sunday
7/23/2018,Calendar days,1,1,23,7/1/2018,6/30/2018,30,Monday
7/24/2018,Calendar days,1,2,24,7/1/2018,6/30/2018,30,Tuesday
7/25/2018,Calendar days,1,3,25,7/1/2018,6/30/2018,30,Wednesday
7/26/2018,Calendar days,1,4,26,7/1/2018,6/30/2018,30,Thursday
7/27/2018,Calendar days,1,5,27,7/1/2018,6/30/2018,30,Friday
7/28/2018,Calendar days,1,6,28,7/1/2018,6/30/2018,30,Saturday
7/29/2018,Calendar days,1,7,29,7/1/2018,6/30/2018,31,Sunday
7/30/2018,Calendar days,1,1,30,7/1/2018,6/30/2018,31,Monday
7/31/2018,Calendar days,1,2,31,7/1/2018,6/30/2018,31,Tuesday
8/1/2018,Calendar days,1,3,1,8/1/2018,7/31/2018,31,Wednesday
8/2/2018,Calendar days,1,4,2,8/1/2018,7/31/2018,31,Thursday
8/3/2018,Calendar days,1,5,3,8/1/2018,7/31/2018,31,Friday
8/4/2018,Calendar days,1,6,4,8/1/2018,7/31/2018,31,Saturday
8/5/2018,Calendar days,1,7,5,8/1/2018,7/31/2018,32,Sunday
